Lot,Origin,Roast,Bags,Weight (kg),Price/kg,Roasted,Photo,Notes
LOT-2026-001,Colombia Huila,Medium,24,288,14.50,2026-03-02,https://pragoptics.com/data/demo/photos/lot-001.png,washed process
LOT-2026-002,Ethiopia Yirgacheffe,Light,18,216,19.75,2026-03-04,,floral · citrus
LOT-2026-003,Brazil Cerrado,Dark,40,480,11.20,2026-03-05,https://pragoptics.com/data/demo/photos/lot-003.png,natural process
LOT-2026-004,Guatemala Antigua,Medium,22,264,15.80,2026-03-09,,
LOT-2026-005,Sumatra Lintong,Dark,16,192,16.40,2026-03-11,https://pragoptics.com/data/demo/photos/lot-005.png,wet-hulled
LOT-2026-006,Peru Cajamarca,Light,20,240,13.90,2026-03-12,,organic certified
LOT-2026-007,Honduras Marcala,Espresso,28,336,12.60,2026-03-16,,
LOT-2026-008,Colombia Nariño,Light,14,168,18.25,2026-03-18,https://pragoptics.com/data/demo/photos/lot-008.png,high altitude
LOT-2026-009,Kenya Nyeri ,Light,12,144,21.00,2026-03-19,,AA grade
LOT-2026-010,Brazil Mogiana,Espresso,36,432,10.80,2026-03-23,,blend base
LOT-2026-011,Ethiopia Guji,Light,15,180,20.10,2026-03-25,,anaerobic
LOT-2026-012,Mexico Chiapas,Medium,26,312,13.10,2026-03-26,https://pragoptics.com/data/demo/photos/lot-012.png,
LOT-2026-013,Rwanda Nyamasheke,Light,10,120,19.40,2026-03-30,,bourbon varietal
LOT-2026-014,Costa Rica Tarrazú,Medium,21,252,16.90,2099-03-15,,honey process
LOT-2026-015,Panama Boquete,Light,8,96,32.50,2026-04-02,,gesha varietal
LOT-2026-016,Vietnam Da Lat,Dark,30,360,9.60,2026-04-06,,robusta blend
LOT-2026-017,Brazil Santos,Espresso,4200,504,10.40,2026-04-08,,check bag count
LOT-2026-018,Colombia Tolima,Medium,25,300,14.20,2026-04-09,,
LOT-2026-019,Ethiopia Sidamo,Light,17,204,18.80,2026-04-13,,washed process
LOT-2026-020,Guatemala Huehuetenango,Medium,23,276,15.30,2026-04-15,https://pragoptics.com/data/demo/photos/lot-020.png,
LOT-2026-021,India Monsooned Malabar,Dark,19,228,12.90,2026-04-16,,low acidity
LOT-2026-022,Burundi Kayanza,Light,11,132,17.60,2026-04-20,,red bourbon
LOT-2026-023,Nicaragua Jinotega,Medium,27,324,13.70,2026-04-22,,
LOT-2026-024,Tanzania Kilimanjaro,Medium,20,240,14.80,2026-04-23,,peaberry
